layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.16.conv.1.0,features.16,44,0.2289326251189245,0.2294962243406575,0.0005635992217329,0.0005635992217329,0.827492596248766,0.827492596248766,0.0,0.0,5.2651021320571096e-08,4.494362937368378e-10,4.494362937368378e-10,6.126237364623144e-10
features.16.conv.1.0,features.16,45,0.2289326251189245,0.2284609925837255,-0.000471632535199,0.000471632535199,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.9970810782865562e-08,4.6435155720558896e-10,4.6435155720558896e-10,5.162090780871931e-10
features.16.conv.1.0,features.16,46,0.2289326251189245,0.2291292837795293,0.0001966586606047,0.0001966586606047,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.1034846636448493e-07,2.713792746078525e-09,2.713792746078525e-09,2.882050625929722e-09
features.16.conv.1.0,features.16,47,0.2289326251189245,0.2304013135484447,0.0014686884295202,0.0014686884295202,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,1.917968290854333e-07,9.13996600626632e-10,9.13996600626632e-10,1.1486967280149862e-09
features.16.conv.1.0,features.16,48,0.2289326251189245,0.2266565506131546,-0.0022760745057699,0.0022760745057699,0.827492596248766,0.8277393879565647,0.0002467917077986,0.0002467917077986,2.533552958539076e-07,1.0256180349443862e-09,1.0256180349443862e-09,1.8650210542592305e-09
features.16.conv.1.0,features.16,49,0.2289326251189245,0.2286908254244122,-0.0002417996945123,0.0002417996945123,0.827492596248766,0.8273938795656466,-9.87166831194486e-05,9.87166831194486e-05,3.41622943267339e-08,1.1964046420231966e-10,1.1964046420231966e-10,1.3498552536156394e-10
features.16.conv.1.0,features.16,50,0.2289326251189245,0.2276152151978467,-0.0013174099210777,0.0013174099210777,0.827492596248766,0.8273445212240869,-0.0001480750246791,0.0001480750246791,2.107299081899328e-07,5.663789437448941e-10,5.663789437448941e-10,7.210897365328428e-10
features.16.conv.1.0,features.16,51,0.2289326251189245,0.2301216953415507,0.0011890702226262,0.0011890702226262,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.1778109154647609e-07,1.5886764126449288e-10,1.5886764126449288e-10,2.674328345581012e-10
features.16.conv.1.0,features.16,52,0.2289326251189245,0.2341965344975496,0.005263909378625,0.005263909378625,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,1.271873912855881e-07,1.7580380484716331e-09,1.7580380484716331e-09,2.090009443289631e-09
features.16.conv.1.0,features.16,53,0.2289326251189245,0.2220089847053445,-0.0069236404135799,0.0069236404135799,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,3.06651145365322e-07,1.0227282909447408e-10,1.0227282909447408e-10,2.8813961780796427e-09
features.16.conv.1.0,features.16,54,0.2289326251189245,0.2287811088193803,-0.0001515162995442,0.0001515162995442,0.827492596248766,0.8272951628825271,-0.0001974333662388,0.0001974333662388,1.173952099975395e-07,4.987722457272523e-10,4.987722457272523e-10,5.57267334708178e-10
features.16.conv.1.0,features.16,55,0.2289326251189245,0.230128733206959,0.0011961080880344,0.0011961080880344,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,2.1822181395236846e-08,4.378160056717206e-09,4.378160056717206e-09,4.511011564289902e-09
features.16.conv.1.0,features.16,56,0.2289326251189245,0.2277770150596509,-0.0011556100592736,0.0011556100592736,0.827492596248766,0.8276406712734452,0.0001480750246791,0.0001480750246791,2.5360828104226133e-08,1.990359699277633e-08,1.990359699277633e-08,2.0183335489032395e-08
features.16.conv.1.0,features.16,57,0.2289326251189245,0.2290746162899204,0.0001419911709958,0.0001419911709958,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,2.5917890411619737e-07,2.4453991609441056e-10,2.4453991609441056e-10,4.93269133872154e-10
features.16.conv.1.0,features.16,58,0.2289326251189245,0.2298756523982209,0.0009430272792963,0.0009430272792963,0.827492596248766,0.8269002961500493,-0.0005923000987166,0.0005923000987166,2.606069244848186e-07,1.0040128728405762e-08,1.0040128728405762e-08,1.1248296793997525e-08
features.16.conv.1.0,features.16,59,0.2289326251189245,0.2262935143322292,-0.0026391107866952,0.0026391107866952,0.827492596248766,0.8269496544916091,-0.0005429417571569,0.0005429417571569,5.6723969521499384e-08,2.298740753303718e-09,2.298740753303718e-09,2.7150964809763423e-09
features.16.conv.1.0,features.16,60,0.2289326251189245,0.2295708214073547,0.0006381962884302,0.0006381962884302,0.827492596248766,0.8276900296150049,0.0001974333662388,0.0001974333662388,1.0626448698758396e-07,1.015093342715545e-09,1.015093342715545e-09,1.163093905909296e-09
features.16.conv.1.0,features.16,61,0.2289326251189245,0.2298278099813077,0.0008951848623831,0.0008951848623831,0.827492596248766,0.8270483711747285,-0.0004442250740375,0.0004442250740375,5.618418086328347e-08,3.557550920518792e-09,3.557550920518792e-09,3.7022177615253504e-09
features.16.conv.1.0,features.16,62,0.2289326251189245,0.2295722187156501,0.0006395935967255,0.0006395935967255,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,8.534678386240557e-08,2.385787567504849e-09,2.385787567504849e-09,2.5115841906231395e-09
features.16.conv.1.0,features.16,63,0.2289326251189245,0.2285213019576,-0.0004113231613245,0.0004113231613245,0.827492596248766,0.827492596248766,0.0,0.0,6.043309497272277e-08,1.0427494423481676e-09,1.0427494423481676e-09,1.1380934805682585e-09
features.16.conv.1.0,features.16,64,0.2289326251189245,0.2281851407162924,-0.000747484402632,0.000747484402632,0.827492596248766,0.8271964461994077,-0.0002961500493583,0.0002961500493583,3.655741522834433e-07,5.006240755278668e-09,5.006240755278668e-09,6.1757066127654525e-09
features.16.conv.1.0,features.16,65,0.2289326251189245,0.2258314327546743,-0.0031011923642502,0.0031011923642502,0.827492596248766,0.8276406712734452,0.0001480750246791,0.0001480750246791,1.4549337734592882e-08,7.617796171643931e-09,7.617796171643931e-09,7.787314612595075e-09
features.16.conv.1.0,features.16,66,0.2289326251189245,0.2291470312890688,0.0002144061701443,0.0002144061701443,0.827492596248766,0.827492596248766,0.0,0.0,6.549304742975437e-08,8.02648725262145e-10,8.02648725262145e-10,9.522770037795336e-10
features.16.conv.1.0,features.16,67,0.2289326251189245,0.2265355995135656,-0.0023970256053588,0.0023970256053588,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.6714849948584742e-07,3.528449199485806e-10,3.528449199485806e-10,6.141425284988955e-10
features.16.conv.1.0,features.16,68,0.2289326251189245,0.2285223655869027,-0.0004102595320218,0.0004102595320218,0.827492596248766,0.8272458045409674,-0.0002467917077986,0.0002467917077986,2.069656801495512e-07,4.028929689869898e-10,4.028929689869898e-10,4.5805397495823907e-10
