layer_name,num_channels,score_name,activation_metric,num_points,pearson,pearson_p,spearman,spearman_p
features.14.conv.0.0,576,importance_score,gap_y1,576,0.03279392572316646,0.43212777114929285,0.08984625137904473,0.031084621353497446
features.14.conv.0.0,576,importance_score,activation_gap,576,0.032923474362719224,0.430310330225925,0.06689809338184283,0.10874413181121537
features.14.conv.0.0,576,importance_score,mean_gradient,576,0.40702155726697753,2.1549693339900744e-24,0.4896875860173682,4.542654556268666e-36
features.14.conv.1.0,576,importance_score,phi,576,0.07384337248526829,0.07659242344556595,0.17963677629281818,1.442781176450357e-05
features.14.conv.1.0,576,importance_score,gap_y0,576,0.013843320611131978,0.740241273599804,0.04395521073378076,0.2922756965773379
features.14.conv.1.0,576,importance_score,gap_y1,576,0.029321515610110923,0.4824679615443522,0.09699630450469396,0.01989370126091434
features.14.conv.1.0,576,importance_score,activation_gap,576,0.022877942504402886,0.5837265171854078,0.07837864134763271,0.06012254683345808
features.14.conv.1.0,576,importance_score,mean_gradient,576,0.04726685517930834,0.2573934704566759,0.1729359470043696,3.007105500154581e-05
features.14.conv.2,160,importance_score,phi,160,0.17888098213561135,0.02362147197905976,0.19099378881987578,0.015551553998967117
features.14.conv.2,160,importance_score,gap_y0,160,-0.01124777171556864,0.887740987331501,0.02093929450369155,0.7926927499142737
features.14.conv.2,160,importance_score,gap_y1,160,0.00017654921107608697,0.9982321440929331,0.024891597328020626,0.7547089785952639
features.14.conv.2,160,importance_score,activation_gap,160,-0.005065438388571538,0.9493115725059313,0.025190437126450253,0.7518594593578751
features.14.conv.2,160,importance_score,mean_gradient,160,0.5913501378345604,1.82566087586979e-16,0.6262305168170632,8.320871287369864e-19
features.15.conv.0.0,960,importance_score,phi,960,0.3101654705300701,7.472158572921275e-23,0.382528396298173,8.20905175009233e-35
features.15.conv.0.0,960,importance_score,gap_y0,960,0.08011365081793045,0.013028526331613766,0.030495001079645267,0.34525062729896405
features.15.conv.0.0,960,importance_score,gap_y1,960,0.08480698014055453,0.00856459072842268,0.06228398956596089,0.0537112756888013
features.15.conv.0.0,960,importance_score,activation_gap,960,0.08446920810705189,0.008832927248750396,0.04764490846886769,0.1401754567028301
features.15.conv.0.0,960,importance_score,mean_gradient,960,0.39075991044713754,2.2295837231348475e-36,0.528428863855104,3.71175164537132e-70
features.15.conv.1.0,960,importance_score,phi,960,-0.00367939911458937,0.9093536355236381,-0.12525028510230587,9.982616267768094e-05
features.15.conv.1.0,960,importance_score,gap_y0,960,-0.06255070212740971,0.05269218946245908,-0.23088068943217166,4.4105893078403713e-13
features.15.conv.1.0,960,importance_score,gap_y1,960,-0.05568870421276362,0.08461009018639189,-0.1679031769782736,1.6704963819055752e-07
features.15.conv.1.0,960,importance_score,activation_gap,960,-0.059850621831228176,0.06378931700788587,-0.21263085951699162,2.8176990475350668e-11
features.15.conv.1.0,960,importance_score,mean_gradient,960,0.1482742161266326,3.956625397821826e-06,0.13997535804617842,1.34426051017971e-05
features.15.conv.2,160,importance_score,phi,160,0.20983438044351732,0.007741907654432641,0.13206082268838626,0.09598192793825282
features.15.conv.2,160,importance_score,gap_y0,160,-0.05915023164781573,0.45749241367302584,-0.06939235907652642,0.38325144203677697
features.15.conv.2,160,importance_score,gap_y1,160,-0.008217990147112608,0.9178542716102751,-0.013087425290050391,0.8695317158699836
features.15.conv.2,160,importance_score,activation_gap,160,-0.031875682335170546,0.6890538668823833,-0.043771241064104065,0.5826008738235895
features.15.conv.2,160,importance_score,mean_gradient,160,0.5743629574891504,2.008099106684897e-15,0.6432848939411695,4.6181844430580023e-20
features.16.conv.0.0,960,importance_score,phi,960,0.2638821437107386,9.313635258349462e-17,0.3819825231732105,1.0389049550682278e-34
features.16.conv.0.0,960,importance_score,gap_y0,960,0.05045964866856788,0.11819532996499803,0.039610592554713095,0.22013412167840382
