channel_index,baseline_eo,pruned_eo,delta_eo_abs,phi,gap_y0,gap_y1,activation_gap,mean_gradient,importance_channel
57,0.22731779732677534,0.24021261814896944,0.012894820822194092,3.963531107805862e-06,0.0398169962487674,0.03570137664704226,0.07551837289580966,5.24843287245373e-05,1.2332185406194185e-07
58,0.22731779732677534,0.2268916850423396,0.00042611228443573124,2.1432359137460084e-06,0.030924222941255658,0.08927690157874116,0.12020112451999682,1.783041483434256e-05,9.172207171559421e-08
59,0.22731779732677534,0.22856824055257874,0.0012504432258033937,1.057459317463475e-06,0.025802067251406213,0.04221568675777365,0.06801775400917986,1.5546813223511575e-05,8.425546127455164e-08
60,0.22731779732677534,0.23170576171803653,0.004387964391261184,3.5037118059741107e-06,0.08593781540626831,0.1535431727438405,0.23948098815010882,1.4630438236616733e-05,1.1012379275143758e-07
61,0.22731779732677534,0.23262317247557313,0.005305375148797781,4.1229693845263286e-06,0.05948023452714947,0.0322651235757841,0.09174535810293358,4.4939269623870984e-05,9.434731396140705e-08
62,0.22731779732677534,0.22887006363769521,0.0015522663109198698,4.663736259395242e-07,0.014742802482329648,0.016605458059644272,0.03134826054197392,1.4877177166339765e-05,7.276622682184097e-08
63,0.22731779732677534,0.22770054377530177,0.0003827464485264276,1.2861050642462452e-06,0.022855337208874272,0.05799129879512757,0.08084663600400184,1.5907960155356174e-05,9.17372560138574e-08
64,0.22731779732677534,0.22762850932016174,0.0003107119933863922,3.880025543319391e-06,0.06483614792276386,0.04790154086423783,0.11273768878700169,3.441640133895264e-05,1.3675962406978215e-07
65,0.22731779732677534,0.228206654565293,0.000888857238517643,1.591306268597023e-06,0.07735006958588894,0.09744028119009107,0.17479035077598,9.104085331555401e-06,3.2860615561958184e-08
66,0.22731779732677534,0.22841340503136498,0.001095607704589635,2.2463297059640904e-06,0.01849148956586838,0.06638872707219073,0.08488021663805911,2.646470278866922e-05,6.909739624916256e-08
67,0.22731779732677534,0.22820201156014613,0.0008842142333707892,6.431234669716628e-07,0.023154487038675182,0.016595514031279512,0.039750001069954695,1.6179206280770943e-05,4.3125162108026416e-08
68,0.22731779732677534,0.22603010176906269,0.0012876955577126592,6.485834092905958e-07,0.02451916012502961,0.021616825771342395,0.04613598589637201,1.4058080621651966e-05,8.906611981274182e-08
69,0.22731779732677534,0.2311743172577931,0.0038565199310177656,2.4437117628078993e-06,0.037391774797676865,0.08317409751094712,0.12056587230862398,2.0268685624008898e-05,7.82931692810962e-08
70,0.22731779732677534,0.22639446050631282,0.0009233368204625281,2.092346407522647e-06,0.07775024025385432,0.11692373808650883,0.19467397834036315,1.0747951140467477e-05,4.821064081284021e-08
71,0.22731779732677534,0.23494114928842297,0.007623351961647623,1.253381471569123e-06,0.014960094856785303,0.005519611739049468,0.02047970659583477,6.120114395701547e-05,1.3699145995360595e-07
72,0.22731779732677534,0.23261218082962962,0.005294383502854272,1.8669913891975296e-06,0.06462265513940421,0.03973575629517587,0.10435841143458008,1.7890185980532142e-05,2.5529644176458532e-08
73,0.22731779732677534,0.2250651305964252,0.0022526667303501557,2.994881853448946e-06,0.05946176302815745,0.09662625608480455,0.156088019112962,1.918713473634084e-05,6.361469218063576e-08
74,0.22731779732677534,0.22909499248835394,0.001777195161578593,5.831888168269934e-08,0.005410696114481958,0.000362566406617415,0.005773262521099373,1.010154682375226e-05,7.950137614898267e-08
75,0.22731779732677534,0.22851829008938115,0.0012004927626058093,5.295113675700891e-07,0.034695972502745864,0.008739677854887662,0.043435650357633526,1.2190708858052841e-05,6.592848933451023e-08
76,0.22731779732677534,0.22921160445123456,0.001893807124459218,2.665576127627326e-06,0.025566066596000556,0.03103542942153302,0.05660149601753357,4.709373983333593e-05,1.1645509090385531e-07
77,0.22731779732677534,0.2256747283054307,0.0016430690213446453,2.0992829930687215e-06,0.025658616312798765,0.04930828531620368,0.07496690162900245,2.8002797867486788e-05,8.304849075102538e-08
78,0.22731779732677534,0.22679576109025867,0.0005220362365166709,2.0485994124931957e-06,0.06850898360866678,0.11047878464289915,0.17898776825156593,1.144547156772135e-05,6.39721093875778e-08
79,0.22731779732677534,0.2266412837499805,0.0006765135767948516,3.48989696105921e-07,0.017864453423216818,0.02458531584320918,0.042449769266426,8.221238940442037e-06,5.811962466850673e-08
80,0.22731779732677534,0.22718279765261834,0.00013499967415700476,8.677049633805341e-07,0.003176265531592462,0.02340505668946239,0.026581322221054852,3.264340863725853e-05,2.279773241298244e-07
81,0.22731779732677534,0.23186763427395213,0.004549836947176783,3.616840706471755e-06,0.09861280108841564,0.07256301246593007,0.1711758135543457,2.112939107091472e-05,5.8852275941490007e-08
82,0.22731779732677534,0.2255686126975224,0.0017491846292529423,1.9310284311754567e-06,0.0425352067244806,0.0843501905656456,0.1268853972901262,1.5218681364571199e-05,1.703039060885203e-07
83,0.22731779732677534,0.22328594478983022,0.00403185253694513,1.2311684587481453e-06,0.00398215904717944,0.04491312399507,0.04889528304224944,2.5179697961546053e-05,8.327165090804556e-08
84,0.22731779732677534,0.2309371882211225,0.003619390894347152,1.2295263720781411e-06,0.004564700706236255,0.0215706150544463,0.026135315760682554,4.704463429241654e-05,1.529624000795593e-07
85,0.22731779732677534,0.2300137305143799,0.0026959331876045545,1.5066702641494503e-06,0.01069418559738372,0.02920191753564816,0.03989610313303188,3.776484783803375e-05,7.437083127115329e-08
86,0.22731779732677534,0.22478487567280622,0.0025329216539691224,4.520543883185316e-06,0.055504694128264864,0.05688164232912424,0.1123863364573891,4.02232515595814e-05,7.609543217768078e-08
87,0.22731779732677534,0.22807421484838772,0.0007564175216123736,7.983683401187154e-07,0.02853239027267701,0.03170492058868374,0.06023731086136075,1.3253718147481732e-05,6.4948928013564e-08
88,0.22731779732677534,0.22701813048011193,0.00029966684666341004,2.832849768468828e-06,0.042590051814388435,0.04781822082835857,0.090408272642747,3.1333966302652206e-05,1.0224581359352669e-07
89,0.22731779732677534,0.22559117096350478,0.0017266263632705614,2.822023661033112e-06,0.05692906259215192,0.06723671822240923,0.12416578081456114,2.2727869486422688e-05,1.0301396002887486e-07
90,0.22731779732677534,0.23103683032049596,0.003719032993720617,1.39967494811725e-06,0.03570267125487563,0.0071045596869445775,0.04280723094182021,3.269716160850404e-05,7.660702294742805e-08
91,0.22731779732677534,0.23024941935919757,0.0029316220324222264,3.809090167141822e-07,0.011089828280987188,0.0008456555734113608,0.011935483854398549,3.1913998741978684e-05,1.3392323694461084e-07
92,0.22731779732677534,0.22992058196656875,0.0026027846397934096,1.4365644128158937e-06,0.015799837851801377,0.05301349639685137,0.06881333424865274,2.0876250635159702e-05,1.5964872090989957e-07
93,0.22731779732677534,0.23523815995568387,0.007920362628908523,1.635932476884354e-06,0.03413538131391919,0.10024139451724629,0.13437677583116547,1.2174220335065806e-05,8.526129136043892e-08
94,0.22731779732677534,0.23306150913269263,0.00574371180591729,2.397028241937483e-06,0.027784715036213714,0.019868203380256855,0.04765291841647057,5.0301814067047433e-05,1.2072329980128416e-07
95,0.22731779732677534,0.24091154709564283,0.013593749768867486,2.779419664915348e-06,0.00988060798208909,0.04214053051047956,0.05202113849256865,5.342865891549827e-05,1.5261748842476663e-07
96,0.22731779732677534,0.22581906085489736,0.0014987364718779816,2.1711532461714976e-06,0.07348520861578844,0.05901487351689623,0.13250008213268466,1.6386052078045657e-05,7.132990020863872e-08
97,0.22731779732677534,0.2264350999608273,0.0008826973659480375,1.954761354753914e-06,0.0425642573864485,0.07844158037839337,0.12100583776484186,1.615427313972011e-05,6.988305756294722e-08
