layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.13.conv.1.0,features.13,164,0.22893262511892457,0.2249225005508453,-0.004010124568079254,0.004010124568079254,0.827492596248766,0.826604146100691,-0.0008884501480750373,0.0008884501480750373,1.7137729457772366e-08,1.7157678444679192e-08
features.13.conv.1.0,features.13,165,0.22893262511892457,0.2263312641129687,-0.002601361005955871,0.002601361005955871,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,4.597226421765299e-08,1.4614597171336285e-09
features.13.conv.1.0,features.13,166,0.22893262511892457,0.22418255675207371,-0.004750068366850851,0.004750068366850851,0.827492596248766,0.8281836130306022,0.0006910167818361401,0.0006910167818361401,2.24270433335505e-08,6.494070059481771e-09
features.13.conv.1.0,features.13,167,0.22893262511892457,0.22367826935224924,-0.005254355766675323,0.005254355766675323,0.827492596248766,0.8277393879565647,0.0002467917077986215,0.0002467917077986215,3.358544375942074e-08,8.93312970817739e-09
features.13.conv.1.0,features.13,168,0.22893262511892457,0.226938747158915,-0.001993877960009577,0.001993877960009577,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,1.203732580279393e-08,2.4502478643273484e-08
features.13.conv.1.0,features.13,169,0.22893262511892457,0.22840369244275335,-0.0005289326761712121,0.0005289326761712121,0.827492596248766,0.8265547877591313,-0.0009378084896347616,0.0009378084896347616,1.1184249082418773e-08,2.084358818876808e-08
features.13.conv.1.0,features.13,170,0.22893262511892457,0.23172507692248387,0.0027924518035593038,0.0027924518035593038,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,9.53801393421827e-09,2.54146761413665e-08
features.13.conv.1.0,features.13,171,0.22893262511892457,0.22891324118283501,-1.9383936089550913e-05,1.9383936089550913e-05,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,1.074282707236307e-07,2.647434022007289e-09
features.13.conv.1.0,features.13,172,0.22893262511892457,0.23483029528392338,0.005897670164998814,0.005897670164998814,0.827492596248766,0.8265547877591313,-0.0009378084896347616,0.0009378084896347616,1.0759500668200417e-07,2.774062396460053e-09
features.13.conv.1.0,features.13,173,0.22893262511892457,0.22888672432415288,-4.590079477168052e-05,4.590079477168052e-05,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,2.7910571631650782e-08,2.146508783218426e-09
features.13.conv.1.0,features.13,174,0.22893262511892457,0.2296995871876779,0.0007669620687533463,0.0007669620687533463,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,3.757935829185044e-08,5.995112600798436e-10
