layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.17.conv.1.0,features.17,526,0.17054892370443422,0.17125175760423547,0.0007028338998012473,0.0007028338998012473,1.299018776990124e-07,2.0046454218825e-09
features.17.conv.1.0,features.17,527,0.17054892370443422,0.17051149693668927,-3.742676774495801e-05,3.742676774495801e-05,1.0543543282892642e-07,2.526688702014779e-10
features.17.conv.1.0,features.17,528,0.17054892370443422,0.17401992102706104,0.0034709973226268176,0.0034709973226268176,3.784405464557495e-07,1.4274599696717514e-09
features.17.conv.1.0,features.17,529,0.17054892370443422,0.17074936117713302,0.00020043747269879453,0.00020043747269879453,1.405469305382212e-07,6.895614704238716e-10
features.17.conv.1.0,features.17,530,0.17054892370443422,0.16988478786010736,-0.0006641358443268686,0.0006641358443268686,1.1483924566846326e-07,2.4455649311194705e-10
features.17.conv.1.0,features.17,531,0.17054892370443422,0.1706571045096154,0.000108180805181185,0.000108180805181185,4.9889749220710655e-08,8.286661287715269e-11
features.17.conv.1.0,features.17,532,0.17054892370443422,0.17031342740540678,-0.0002354962990274434,0.0002354962990274434,2.252058628471332e-08,4.1089508531766405e-11
features.17.conv.1.0,features.17,533,0.17054892370443422,0.16878547127502952,-0.001763452429404705,0.001763452429404705,2.4853812874425785e-07,8.862222899974626e-10
features.17.conv.1.0,features.17,534,0.17054892370443422,0.17041084861422479,-0.00013807509020943853,0.00013807509020943853,1.1214045514407189e-07,1.244898351071555e-09
features.17.conv.1.0,features.17,535,0.17054892370443422,0.16884040430105537,-0.0017085194033788498,0.0017085194033788498,4.74990486054594e-07,1.3699743214856672e-09
features.17.conv.1.0,features.17,536,0.17054892370443422,0.17048098654479604,-6.79371596381817e-05,6.79371596381817e-05,1.1830923085653923e-07,2.7502686933411624e-10
features.17.conv.1.0,features.17,537,0.17054892370443422,0.17049545001067193,-5.347369376229594e-05,5.347369376229594e-05,1.0722290255671397e-07,4.2989167781115606e-10
features.17.conv.1.0,features.17,538,0.17054892370443422,0.1706185617421447,6.963803771048438e-05,6.963803771048438e-05,9.83538726018196e-08,1.8612717617161323e-10
features.17.conv.1.0,features.17,539,0.17054892370443422,0.1697105251115162,-0.0008383985929180382,0.0008383985929180382,1.46853949445358e-07,3.609914728253116e-10
features.17.conv.1.0,features.17,540,0.17054892370443422,0.17088099490689318,0.0003320712024589556,0.0003320712024589556,3.789878633142507e-07,4.3275834304967726e-10
features.17.conv.1.0,features.17,541,0.17054892370443422,0.17034879578241288,-0.00020012792202134255,0.00020012792202134255,1.439307908412957e-07,4.3534734844863365e-10
features.17.conv.1.0,features.17,542,0.17054892370443422,0.1708691012395094,0.00032017753507518343,0.00032017753507518343,2.1607367273190905e-07,2.3092489309650688e-09
features.17.conv.1.0,features.17,543,0.17054892370443422,0.17051792695846227,-3.099674597195623e-05,3.099674597195623e-05,3.263610324211186e-07,3.173162621550318e-09
features.17.conv.1.0,features.17,544,0.17054892370443422,0.17032821774767481,-0.0002207059567594094,0.0002207059567594094,1.5628801008915619e-07,2.0205738471279486e-10
features.17.conv.1.0,features.17,545,0.17054892370443422,0.1703801280380772,-0.00016879566635702448,0.00016879566635702448,1.0468010458453136e-07,1.0290776824434243e-10
features.17.conv.1.0,features.17,546,0.17054892370443422,0.17028992619355027,-0.00025899751088395706,0.00025899751088395706,7.616151265210648e-08,9.37312662381562e-11
features.17.conv.1.0,features.17,547,0.17054892370443422,0.17088825569204505,0.0003393319876108247,0.0003393319876108247,1.2340430544099945e-07,5.506107687847095e-10
features.17.conv.1.0,features.17,548,0.17054892370443422,0.1700754907531912,-0.00047343295124302465,0.00047343295124302465,2.1180444775836807e-07,7.153238140711338e-10
features.17.conv.1.0,features.17,549,0.17054892370443422,0.17057786650565626,2.8942801222037184e-05,2.8942801222037184e-05,1.4121262381650013e-07,4.346410939493061e-10
features.17.conv.1.0,features.17,550,0.17054892370443422,0.17016381422094418,-0.00038510948349004814,0.00038510948349004814,1.1950970701946062e-07,1.7550078144218384e-10
features.17.conv.1.0,features.17,551,0.17054892370443422,0.17444308053372784,0.0038941568292936157,0.0038941568292936157,1.049462241553556e-07,8.567815901194821e-10
features.17.conv.1.0,features.17,552,0.17054892370443422,0.17046342461608668,-8.549908834754039e-05,8.549908834754039e-05,8.762955872043676e-08,2.3897493359181787e-10
features.17.conv.1.0,features.17,553,0.17054892370443422,0.17066901427824385,0.00012009057380962807,0.00012009057380962807,1.5640551964679617e-07,5.686258131021305e-10
features.17.conv.1.0,features.17,554,0.17054892370443422,0.16973101360471993,-0.0008179100997142974,0.0008179100997142974,8.88046898239736e-08,6.992238905934034e-11
features.17.conv.1.0,features.17,555,0.17054892370443422,0.1701409604591858,-0.0004079632452484161,0.0004079632452484161,6.795333007403316e-08,4.746955224732563e-10
features.17.conv.1.0,features.17,556,0.17054892370443422,0.1693113995379393,-0.0012375241664949188,0.0012375241664949188,3.872827676332236e-07,2.305903246124785e-09
features.17.conv.1.0,features.17,557,0.17054892370443422,0.17059867110193055,4.974739749633028e-05,4.974739749633028e-05,1.4083749988458294e-07,4.2321952886670284e-10
features.17.conv.1.0,features.17,558,0.17054892370443422,0.1705850370203989,3.6113315964675374e-05,3.6113315964675374e-05,1.2276576910608128e-07,5.701780939754152e-10
features.17.conv.1.0,features.17,559,0.17054892370443422,0.17028036129695867,-0.00026856240747555327,0.00026856240747555327,1.2950451377946592e-07,4.601350949567928e-10
features.17.conv.1.0,features.17,560,0.17054892370443422,0.17035820066167728,-0.00019072304275694063,0.00019072304275694063,2.1877546885207266e-07,7.74163906591685e-10
features.17.conv.1.0,features.17,561,0.17054892370443422,0.170505843760847,-4.3079943587237546e-05,4.3079943587237546e-05,7.725720507778534e-08,1.0282181495124831e-09
features.17.conv.1.0,features.17,562,0.17054892370443422,0.1697556208456754,-0.0007933028587588375,0.0007933028587588375,3.991565051819634e-07,6.800618193580911e-10
