layer,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,phi,perf
features.6.conv.1.0,105,0.22893262511892457,0.23088247121219235,0.0019498460932677875,0.0019498460932677875,1.0592149379817783e-08,3.6169833350641056e-08
features.6.conv.1.0,106,0.22893262511892457,0.22810071067114984,-0.0008319144477747231,0.0008319144477747231,8.913937143972817e-09,3.240453239072849e-08
features.6.conv.1.0,107,0.22893262511892457,0.2287803503856689,-0.00015227473325565843,0.00015227473325565843,7.986383110392126e-08,3.149558125414842e-08
features.6.conv.1.0,108,0.22893262511892457,0.22970662638023895,0.0007740012613143832,0.0007740012613143832,3.878056542561126e-09,1.991313247629023e-08
features.6.conv.1.0,109,0.22893262511892457,0.22950274289060907,0.000570117771684503,0.000570117771684503,3.625535649476319e-09,1.3728892156450456e-07
features.6.conv.1.0,110,0.22893262511892457,0.23043496596503615,0.0015023408461115884,0.0015023408461115884,8.670633100393843e-09,2.355025685574219e-08
features.6.conv.1.0,111,0.22893262511892457,0.23160715609171734,0.0026745309727927713,0.0026745309727927713,3.1470776207243034e-08,1.06134256938617e-09
features.6.conv.1.0,112,0.22893262511892457,0.22454731789995866,-0.004385307218965906,0.004385307218965906,5.26421128910215e-09,2.031846157990458e-08
features.6.conv.1.0,113,0.22893262511892457,0.22478122756531982,-0.0041513975536047465,0.0041513975536047465,2.7606346097996948e-09,8.819111485536268e-08
features.6.conv.1.0,114,0.22893262511892457,0.22741597687122306,-0.0015166482477015075,0.0015166482477015075,2.6165015043488893e-08,5.421474469358145e-08
features.6.conv.1.0,115,0.22893262511892457,0.2280155720458773,-0.0009170530730472637,0.0009170530730472637,6.7059398034530204e-09,2.672244647783373e-07
features.6.conv.1.0,116,0.22893262511892457,0.23039667054329788,0.0014640454243733114,0.0014640454243733114,2.5464896857840813e-09,1.9580214427605824e-07
features.6.conv.1.0,117,0.22893262511892457,0.23191640022156704,0.002983775102642472,0.002983775102642472,1.1411831479790635e-08,8.12778040426565e-08
features.6.conv.1.0,118,0.22893262511892457,0.22970750437307758,0.0007748792541530103,0.0007748792541530103,8.272559526290024e-09,4.245496842969487e-09
features.6.conv.1.0,119,0.22893262511892457,0.2273530890152849,-0.0015795361036396727,0.0015795361036396727,8.784027727415378e-08,3.263160579081159e-06
features.6.conv.1.0,120,0.22893262511892457,0.22560281158581894,-0.00332981353310563,0.00332981353310563,1.493411261321853e-08,2.1402918548574235e-07
features.6.conv.1.0,121,0.22893262511892457,0.22973878379603396,0.0008061586771093976,0.0008061586771093976,4.269988806981928e-09,6.41792610167613e-08
features.6.conv.1.0,122,0.22893262511892457,0.2281833641911414,-0.0007492609277831574,0.0007492609277831574,2.886745598118523e-08,2.1729515964352686e-08
features.6.conv.1.0,123,0.22893262511892457,0.22626432457394285,-0.002668300544981711,0.002668300544981711,5.137332781401938e-09,1.4549097215876827e-07
features.6.conv.1.0,124,0.22893262511892457,0.2275219238971291,-0.0014107012217954573,0.0014107012217954573,2.3945760929677817e-09,2.909021290520286e-08
features.6.conv.1.0,125,0.22893262511892457,0.22885300583022478,-7.961928869978929e-05,7.961928869978929e-05,1.7725020340364495e-09,3.3081061445727755e-08
features.6.conv.1.0,126,0.22893262511892457,0.22301936667140487,-0.0059132584475196925,0.0059132584475196925,5.343335018892503e-08,4.448649892907497e-09
features.6.conv.1.0,127,0.22893262511892457,0.22727178226249833,-0.0016608428564262312,0.0016608428564262312,8.839634801915963e-09,3.229592380193935e-07
features.6.conv.1.0,128,0.22893262511892457,0.2248403999761364,-0.004092225142788175,0.004092225142788175,2.5055326702272396e-08,2.7824762494077504e-09
features.6.conv.1.0,129,0.22893262511892457,0.22742023982880788,-0.0015123852901166857,0.0015123852901166857,2.4749882143737523e-08,1.6580112571773498e-07
features.6.conv.1.0,130,0.22893262511892457,0.22727178226249833,-0.0016608428564262312,0.0016608428564262312,1.6021060034177026e-08,2.5820840576784576e-08
features.6.conv.1.0,131,0.22893262511892457,0.22946444746887093,0.0005318223499463648,0.0005318223499463648,8.696842357380774e-09,2.4112614127602683e-08
features.6.conv.1.0,132,0.22893262511892457,0.22736564503331055,-0.0015669800856140115,0.0015669800856140115,2.3363858403513404e-08,3.338720588885735e-08
features.6.conv.1.0,133,0.22893262511892457,0.23038699737222088,0.00145437225329631,0.00145437225329631,3.9438718957285346e-09,9.453566462980234e-08
features.6.conv.1.0,134,0.22893262511892457,0.23097301559204148,0.00204039047311691,0.00204039047311691,1.6704213123830414e-08,5.954230886118239e-09
features.6.conv.1.0,135,0.22893262511892457,0.22938285674747566,0.00045023162855109544,0.00045023162855109544,7.007974200945455e-09,8.521361394286942e-08
features.6.conv.1.0,136,0.22893262511892457,0.23261698760461413,0.0036843624856895685,0.0036843624856895685,4.3870449495386765e-09,7.633142473650878e-08
features.6.conv.1.0,137,0.22893262511892457,0.22759547787399723,-0.0013371472449273392,0.0013371472449273392,5.017498416748367e-09,5.5442917812342785e-08
features.6.conv.1.0,138,0.22893262511892457,0.22975615208871783,0.0008235269697932646,0.0008235269697932646,3.151661154277008e-10,3.067873421969125e-08
features.6.conv.1.0,139,0.22893262511892457,0.23085351528253856,0.001920890163613992,0.001920890163613992,9.431757774791549e-08,5.553748039233142e-08
features.6.conv.1.0,140,0.22893262511892457,0.2311167158836989,0.002184090764774327,0.002184090764774327,1.386261594404914e-08,4.303544471895293e-07
features.6.conv.1.0,141,0.22893262511892457,0.22916001756148688,0.00022739244256231306,0.00022739244256231306,1.2291031303846012e-08,1.3206508109320225e-09
features.6.conv.1.0,142,0.22893262511892457,0.231979290092167,0.0030466649732424356,0.0030466649732424356,4.387010754669518e-09,4.5474784826637915e-08
features.6.conv.1.0,143,0.22893262511892457,0.23512525706917953,0.006192631950254962,0.006192631950254962,4.607942116763297e-08,8.043987143047104e-10
features.6.conv.1.0,144,0.22893262511892457,0.22723974573298328,-0.0016928793859412872,0.0016928793859412872,1.6225969901029202e-08,1.2202439059194603e-08
features.6.conv.1.0,145,0.22893262511892457,0.22753116569671264,-0.0014014594222119259,0.0014014594222119259,9.873154738215817e-09,1.9066158429836833e-08
features.6.conv.1.0,146,0.22893262511892457,0.22934714843923765,0.0004145233203130816,0.0004145233203130816,3.1116123011543095e-08,1.534319409302043e-07
features.6.conv.1.0,147,0.22893262511892457,0.227961822463088,-0.0009708026558365723,0.0009708026558365723,6.895837145748374e-08,3.6348493104298996e-09
features.6.conv.1.0,148,0.22893262511892457,0.23158797052919508,0.0026553454102705154,0.0026553454102705154,1.2658426307154969e-08,1.2055615172812395e-07
features.6.conv.1.0,149,0.22893262511892457,0.23139656659207286,0.0024639414731482956,0.0024639414731482956,5.205868625068888e-09,4.2276755607417726e-07
features.6.conv.1.0,150,0.22893262511892457,0.23068437103258202,0.0017517459136574542,0.0017517459136574542,3.678271687235224e-09,3.758312416834997e-08
features.6.conv.1.0,151,0.22893262511892457,0.23147881985928867,0.002546194740364105,0.002546194740364105,2.6047812795582104e-08,1.0725328536409506e-07
features.6.conv.1.0,152,0.22893262511892457,0.22980311783994511,0.0008704927210205493,0.0008704927210205493,5.231212085732295e-08,3.029958228761842e-10
features.6.conv.1.0,153,0.22893262511892457,0.22913117986380765,0.00019855474488308933,0.00019855474488308933,3.116563673799533e-09,1.422229889413984e-08
features.6.conv.1.0,154,0.22893262511892457,0.22246946047862087,-0.006463164640303692,0.006463164640303692,1.5611878012578018e-08,1.7684456565802975e-07
features.6.conv.1.0,155,0.22893262511892457,0.228787933892076,-0.00014469122684857005,0.00014469122684857005,5.759472010424815e-09,7.982355332281088e-10
features.6.conv.1.0,156,0.22893262511892457,0.23197152296395765,0.003038897845033084,0.003038897845033084,5.574705497224386e-08,3.7151681731018016e-09
features.6.conv.1.0,157,0.22893262511892457,0.23397709816147527,0.005044473042550707,0.005044473042550707,3.769160983324582e-09,4.886189586272849e-08
features.6.conv.1.0,158,0.22893262511892457,0.23052451146576658,0.0015918863468420141,0.0015918863468420141,2.3582411579070595e-09,3.3420572975728646e-08
features.6.conv.1.0,159,0.22893262511892457,0.23365221936154623,0.004719594242621666,0.004719594242621666,7.096510046267213e-09,7.150883902795613e-07
features.6.conv.1.0,160,0.22893262511892457,0.22787422470482743,-0.0010584004140971326,0.0010584004140971326,2.3157447515131935e-08,2.9559304337567482e-08
features.6.conv.1.0,161,0.22893262511892457,0.2287869898219006,-0.00014563529702396605,0.00014563529702396605,3.2431235474916775e-09,1.618714406959043e-08
features.6.conv.1.0,162,0.22893262511892457,0.2283997846775386,-0.0005328404413859622,0.0005328404413859622,2.4268838050289787e-09,1.3100875939642265e-08
