layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.2.conv.1.0,features.2,63,0.22893262511892457,0.22600140945960653,-0.0029312156593180316,0.0029312156593180316,0.827492596248766,0.8277887462981244,0.00029615004935834577,0.00029615004935834577,1.5245024798105078e-08,1.2981499253328368e-07
features.2.conv.1.0,features.2,64,0.22893262511892457,0.22739550082242949,-0.0015371242964950793,0.0015371242964950793,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,1.876035895520545e-07,6.876293756619134e-09
features.2.conv.1.0,features.2,65,0.22893262511892457,0.23392132017754785,0.004988695058623288,0.004988695058623288,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,3.484954547161578e-09,1.963563590834383e-06
features.2.conv.1.0,features.2,66,0.22893262511892457,0.22993565524935122,0.0010030301304266576,0.0010030301304266576,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,2.9182281036099766e-09,8.815239880277659e-07
features.2.conv.1.0,features.2,67,0.22893262511892457,0.2342523851755885,0.00531976005666393,0.00531976005666393,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,5.4658944037555563e-08,5.3048063719529645e-09
features.2.conv.1.0,features.2,68,0.22893262511892457,0.22960193224830894,0.0006693071293843722,0.0006693071293843722,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,1.0618561141484406e-08,4.193674740804454e-09
features.2.conv.1.0,features.2,69,0.22893262511892457,0.2258998904882757,-0.0030327346306488756,0.0030327346306488756,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,3.170696594168021e-09,3.7124397778143254e-08
features.2.conv.1.0,features.2,70,0.22893262511892457,0.23014188590352022,0.001209260784595656,0.001209260784595656,0.827492596248766,0.8273445212240869,-0.00014807502467917288,0.00014807502467917288,7.148412350943546e-08,1.1946249323102622e-08
features.2.conv.1.0,features.2,71,0.22893262511892457,0.22557179035024078,-0.0033608347686837903,0.0033608347686837903,0.827492596248766,0.8261105626850938,-0.0013820335636722803,0.0013820335636722803,1.0905189640197933e-07,7.113944544556716e-09
features.2.conv.1.0,features.2,72,0.22893262511892457,0.23241668216367578,0.0034840570447512154,0.0034840570447512154,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,1.0040978715153416e-08,1.0552974345046096e-05
features.2.conv.1.0,features.2,73,0.22893262511892457,0.2292217452795769,0.0002891201606523286,0.0002891201606523286,0.827492596248766,0.8261599210266535,-0.001332675222112556,0.001332675222112556,7.212289432345642e-08,6.342729008679271e-09
features.2.conv.1.0,features.2,74,0.22893262511892457,0.2267340325414623,-0.0021985925774622717,0.0021985925774622717,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,3.03808200818878e-09,6.429764312088082e-07
features.2.conv.1.0,features.2,75,0.22893262511892457,0.2513533848140552,0.02242075969513066,0.02242075969513066,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,5.8731600915962197e-08,6.10395289868393e-08
features.2.conv.1.0,features.2,76,0.22893262511892457,0.23924183171688826,0.010309206597963694,0.010309206597963694,0.827492596248766,0.8261599210266535,-0.001332675222112556,0.001332675222112556,3.2907106373158974e-08,1.3101135287740815e-08
features.2.conv.1.0,features.2,77,0.22893262511892457,0.22924241009659735,0.00030978497767278346,0.00030978497767278346,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.288275086608337e-07,9.064762274135774e-09
features.2.conv.1.0,features.2,78,0.22893262511892457,0.22780630466829732,-0.001126320450627244,0.001126320450627244,0.827492596248766,0.8277393879565647,0.0002467917077986215,0.0002467917077986215,1.621178746802343e-08,1.6033820884331362e-06
features.2.conv.1.0,features.2,79,0.22893262511892457,0.23639623673862403,0.007463611619699467,0.007463611619699467,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,8.65918003967181e-09,1.1997607884950412e-07
features.2.conv.1.0,features.2,80,0.22893262511892457,0.22692100048008185,-0.0020116246388427184,0.0020116246388427184,0.827492596248766,0.8273445212240869,-0.00014807502467917288,0.00014807502467917288,1.376758831383995e-07,5.148510506813864e-09
features.2.conv.1.0,features.2,81,0.22893262511892457,0.226409343836913,-0.002523281282011569,0.002523281282011569,0.827492596248766,0.8286278381046397,0.0011352418558736588,0.0011352418558736588,2.4544834786865977e-07,2.7685160830515088e-08
features.2.conv.1.0,features.2,82,0.22893262511892457,0.2312284689169572,0.002295843798032632,0.002295843798032632,0.827492596248766,0.8265547877591313,-0.0009378084896347616,0.0009378084896347616,5.776519884648224e-08,5.648409295844203e-09
features.2.conv.1.0,features.2,83,0.22893262511892457,0.21707462611164308,-0.011857999007281489,0.011857999007281489,0.827492596248766,0.8269002961500493,-0.0005923000987166915,0.0005923000987166915,2.622357442305656e-07,4.325501734570025e-08
features.2.conv.1.0,features.2,84,0.22893262511892457,0.22452520409746235,-0.004407421021462216,0.004407421021462216,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,1.0887246304491784e-07,8.488901137582161e-09
features.2.conv.1.0,features.2,85,0.22893262511892457,0.20739704891679211,-0.02153557620213245,0.02153557620213245,0.827492596248766,0.8262092793682132,-0.0012833168805528317,0.0012833168805528317,1.3774076990102913e-07,8.697549702674223e-08
features.2.conv.1.0,features.2,86,0.22893262511892457,0.22766789420029843,-0.001264730918626139,0.001264730918626139,0.827492596248766,0.827492596248766,0.0,0.0,2.2440795888201137e-08,1.0762313422674197e-06
features.2.conv.1.0,features.2,87,0.22893262511892457,0.22683894133756927,-0.002093683781355299,0.002093683781355299,0.827492596248766,0.8228529121421521,-0.004639684106613973,0.004639684106613973,2.3499704582263806e-07,4.885358961814745e-08
features.2.conv.1.0,features.2,88,0.22893262511892457,0.2321630298848431,0.003230404765918543,0.003230404765918543,0.827492596248766,0.8263079960513326,-0.001184600197433383,0.001184600197433383,1.4653291202648688e-07,2.515588626295084e-09
features.2.conv.1.0,features.2,89,0.22893262511892457,0.22610716292410987,-0.002825462194814693,0.002825462194814693,0.827492596248766,0.8257650542941757,-0.0017275419545903503,0.0017275419545903503,5.162092087118708e-09,6.857746939203935e-07
features.2.conv.1.0,features.2,90,0.22893262511892457,0.23054330471944065,0.001610679600516085,0.001610679600516085,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,5.311634243554408e-09,4.7916805669956375e-06
features.2.conv.1.0,features.2,91,0.22893262511892457,0.22815772435139414,-0.0007749007675304231,0.0007749007675304231,0.827492596248766,0.826061204343534,-0.0014313919052320045,0.0014313919052320045,1.567524634538131e-07,7.436126381321628e-09
features.2.conv.1.0,features.2,92,0.22893262511892457,0.25052048408278776,0.0215878589638632,0.0215878589638632,0.827492596248766,0.7862290227048371,-0.041263573543928955,0.041263573543928955,1.7796894269395125e-07,3.0068484591083695e-08
features.2.conv.1.0,features.2,93,0.22893262511892457,0.22642209314893555,-0.002510531969989016,0.002510531969989016,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.052016926905708e-07,2.022218126285225e-08
features.2.conv.1.0,features.2,94,0.22893262511892457,0.22658732915621987,-0.002345295962704691,0.002345295962704691,0.827492596248766,0.8267028627838104,-0.0007897334649555887,0.0007897334649555887,1.2896022383301897e-07,2.338790920930478e-07
features.2.conv.1.0,features.2,95,0.22893262511892457,0.22975600753120123,0.0008233824122766686,0.0008233824122766686,0.827492596248766,0.8263573543928924,-0.0011352418558736588,0.0011352418558736588,3.3920419806321433e-09,1.0420705365277173e-07
